"CodeID","Folder","Paper","Authors","Year","ModelType","Economy","DynareFeatures","Category"
"Aguiar_Gopinath_2007","Aguiar_Gopinath_2007","Emerging Market Business Cycles: The Cycle Is the Trend","Aguiar, Mark and Gopinath, Gita","2007","RBC small open economy with trend and transitory TFP shocks","Emerging Markets","Nonstationary variables, detrending tricks, recovering non-stationary variables from stationary model, HP-filter moments","9. Open Economy"
"Ascari_Sbordone_2014","Ascari_Sbordone_2014","The Macroeconomics of Trend Inflation","Ascari, Guido and Sbordone, Argia M.","2014","NK DSGE with trend inflation (nonlinear)","USA","Accessing steady state variables for parameter grid sweeps, manual stability mapping by iterating over parameter space, steady-state dependence on parameters","11. Special Methods"
"Basu_Bundick_2017","Basu_Bundick_2017","Uncertainty Shocks in a Model of Effective Demand","Basu, Susanto and Bundick, Brent","2017","NK DSGE with second-moment (uncertainty/volatility) shocks, third-order perturbation","USA","GIRFs at stochastic steady state/ergodic mean in absence of shocks (EMAS), third-order perturbation, external steadystate.m file, stochastic volatility shock","7. Higher-Order Methods"
"Born_Pfeifer_2018_MP","Born_Pfeifer_2018_MP","The New Keynesian Wage Phillips Curve: Calvo vs. Rotemberg","Born, Benjamin and Pfeifer, Johannes","2018","NK DSGE with Calvo vs. Rotemberg wage setting comparison","USA","Monetary policy IRF comparison across multiple specs, get_Calvo_theta.m helper for converting Calvo to Rotemberg, running multiple Dynare calls in sequence","1. RBC / NK Basics"
"Born_Pfeifer_2018_welfare","Born_Pfeifer_2018_welfare","The New Keynesian Wage Phillips Curve: Calvo vs. Rotemberg","Born, Benjamin and Pfeifer, Johannes","2018","NK DSGE welfare computation under four labor market setups","USA","Conditional and unconditional welfare comparison, consumption-equivalent welfare, welfare with efficient vs. inefficient steady state, comparing welfare across multiple model variants","10. Welfare Analysis"
"Caldara_et_al_2012","Caldara_et_al_2012","Computing DSGE Models with Recursive Preferences and Stochastic Volatility","Caldara, Dario and Fernandez-Villaverde, Jesus and Rubio-Ramirez, Juan F. and Yao, Wen","2012","RBC with Epstein-Zin recursive preferences and stochastic volatility","USA","Auxiliary variables for recursive preferences and expected returns, plot_policy_fun.m to plot policy functions, second-order perturbation with recursive utility","7. Higher-Order Methods"
"Gali_2008_chapter_2","Gali_2008","Monetary Policy Inflation and the Business Cycle (2008) Ch.2: Classical Model","Gali, Jordi","2008","Classical monetary economy (flexible prices, linearized)","Generic","Baseline classical model without nominal rigidities, money demand, flexible price equilibrium as benchmark, linearized blocks","2. NK Linearized"
"Gali_2008_chapter_3","Gali_2008","Monetary Policy Inflation and the Business Cycle (2008) Ch.3: Baseline NK","Gali, Jordi","2008","Baseline New Keynesian model (linearized three-equation)","Generic","Three-equation NK model, Calvo pricing, natural rate, output gap, welfare loss function, linearized model block","2. NK Linearized"
"Gali_2008_chapter_4","Gali_2008","Monetary Policy Inflation and the Business Cycle (2008) Ch.4: Optimal Policy","Gali, Jordi","2008","NK model with optimal monetary policy (linearized)","Generic","Optimal simple rules, OSR command, welfare loss minimization, Taylor rules vs. strict inflation targeting","6. Optimal Policy"
"Gali_2008_chapter_5_commitment","Gali_2008","Monetary Policy Inflation and the Business Cycle (2008) Ch.5: Ramsey","Gali, Jordi","2008","NK model with Ramsey optimal policy under commitment (linearized)","Generic","ramsey_model command, commitment optimal policy, targeting rules, planner objective in linear model","6. Optimal Policy"
